"code","name_it","name_en","parent_code","level","classification_system"
"84.3","Assicurazione sociale obbligatoria","Compulsory social security activities","84","3","NACE"
"85.1","Istruzione prescolastica","Pre-primary education","85","3","NACE"
"85.2","Istruzione primaria","Primary education","85","3","NACE"
"85.3","Istruzione secondaria e post-secondaria non terziaria","Secondary and post-secondary non-tertiary education","85","3","NACE"
"85.4","Istruzione terziaria","Tertiary education","85","3","NACE"
"85.5","Altri servizi di istruzione e formazione","Other education","85","3","NACE"
"85.6","Servizi di supporto all'istruzione e formazione","Educational support activities","85","3","NACE"
"86.1","Attività ospedaliere","Hospital activities","86","3","NACE"
"86.2","Attività mediche e odontoiatriche","Medical and dental practice activities","86","3","NACE"
"86.9","Altre attività per la salute umana","Other human health activities","86","3","NACE"
"87.1","Attività di assistenza infermieristica residenziale","Residential nursing care activities","87","3","NACE"
"87.2","Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze","Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse","87","3","NACE"
"87.3","Attività di assistenza residenziale per anziani o persone con disabilità fisiche","Residential care activities for older persons or persons with physical disabilities","87","3","NACE"
"87.9","Altre attività di assistenza residenziale","Other residential care activities","87","3","NACE"
"88.1","Attività di assistenza sociale non residenziale per anziani o persone con disabilità","Social work activities without accommodation for older persons or persons with disabilities","88","3","NACE"
"88.9","Altre attività di assistenza sociale non residenziale","Other social work activities without accommodation","88","3","NACE"
"90.1","Attività di creazione artistica","Arts creation activities","90","3","NACE"
"90.2","Attività di arti performative e rappresentazioni artistiche","Activities of performing arts","90","3","NACE"
"90.3","Attività di supporto alle creazioni e alle arti performative e rappresentazioni artistiche","Support activities to arts creation and performing arts","90","3","NACE"
"91.1","Attività di biblioteche e archivi","Library and archive activities","91","3","NACE"
"91.2","Attività di musei, collezioni, luoghi e monumenti storici","Museum, collection, historical site and monument activities","91","3","NACE"
"91.3","Conservazione, restauro e altre attività di supporto al patrimonio culturale","Conservation, restoration and other support activities for cultural heritage","91","3","NACE"
"91.4","Attività di orti botanici, giardini zoologici e riserve e parchi naturali","Botanical and zoological garden and nature reserve activities","91","3","NACE"
"92.0","Attività di scommesse, lotterie e altri giochi d'azzardo","Gambling and betting activities","92","3","NACE"
"93.1","Attività sportive","Sports activities","93","3","NACE"
"93.2","Attività di intrattenimento e divertimento","Amusement and recreation activities","93","3","NACE"
"94.1","Attività di organizzazioni di imprese, dei datori di lavoro e professionali","Activities of business, employers and professional membership organisations","94","3","NACE"
"94.2","Attività dei sindacati di lavoratori","Activities of trade unions","94","3","NACE"
